Date,META,TSLA,UNH,AAPL,MSFT,V,MA,JPM,AMZN,PG,NVDA,GOOGL
2018-11-15,142.96864318847656,23.229333877563477,237.086669921875,45.49966049194336,100.56404113769531,135.08511352539062,192.9864501953125,90.45967864990234,80.97200012207031,78.59049224853516,5.0129170417785645,53.185672760009766
2018-11-16,138.67510986328125,23.62066650390625,242.60800170898438,46.00359344482422,101.51081848144531,133.50424194335938,191.3807373046875,90.39393615722656,79.67050170898438,78.58210754394531,4.0727009773254395,53.04762649536133
2018-11-19,130.74400329589844,23.564666748046875,238.08001708984375,44.18037414550781,98.070556640625,128.34230041503906,181.99627685546875,91.08427429199219,75.614501953125,78.13816833496094,3.5840165615081787,51.01911544799805
2018-11-20,131.6186065673828,23.166000366210938,234.0083770751953,42.069522857666016,95.34274291992188,127.01844787597656,179.86170959472656,89.12830352783203,74.77300262451172,77.14144134521484,3.692502021789551,51.169578552246094
2018-11-21,133.9939727783203,22.54599952697754,233.158203125,42.02198791503906,96.65509796142578,128.01852416992188,180.43862915039062,88.462646484375,75.83650207519531,76.56350708007812,3.584263324737549,51.81413269042969
2018-11-23,130.92288208007812,21.722000122070312,234.11575317382812,40.95467758178711,96.61759948730469,126.54234313964844,175.57334899902344,87.64900970458984,75.10299682617188,76.67239379882812,3.5914461612701416,51.152198791503906
2018-11-26,135.5443878173828,23.066667556762695,238.178466796875,41.50852966308594,99.80475616455078,129.46612548828125,184.46742248535156,89.79400634765625,79.06649780273438,77.0074462890625,3.7908334732055664,52.43535232543945
2018-11-27,134.17288208007812,22.92799949645996,242.64378356933594,41.4182014465332,100.43282318115234,129.43751525878906,185.5538787841797,90.17203521728516,79.07099914550781,77.66075134277344,3.8076767921447754,52.25360107421875
2018-11-28,135.9220733642578,23.191333770751953,251.41357421875,43.01084518432617,104.1636734008789,134.6470184326172,194.4960479736328,91.1746826171875,83.88749694824219,77.90365600585938,3.9647092819213867,54.215576171875
2018-11-29,137.83033752441406,22.744667053222656,252.84532165527344,42.68043518066406,103.29188537597656,132.47567749023438,189.09231567382812,90.45146179199219,83.67849731445312,77.7445068359375,3.9014861583709717,54.35411834716797
2018-11-30,139.74850463867188,23.365333557128906,252.5850067138672,42.44986343383789,103.94805145263672,134.96131896972656,193.3325958251953,91.38015747070312,84.50849914550781,79.16002655029297,4.05198335647583,55.10245132446289
2018-12-03,140.22555541992188,23.89933204650879,257.0467224121094,43.933162689208984,105.07294464111328,138.09466552734375,201.7843475341797,92.24305725097656,88.61799621582031,78.16332244873047,4.215867042541504,55.43565368652344
2018-12-04,137.08489990234375,23.979999542236328,250.06239318847656,42.00059509277344,101.72642517089844,132.03753662109375,192.77488708496094,88.12567901611328,83.41999816894531,78.15494537353516,3.8952882289886475,52.75961685180664
2018-12-06,138.77452087402344,24.20400047302246,248.5362091064453,41.53231430053711,102.35448455810547,134.3328094482422,195.17868041992188,86.4491195678711,84.95950317382812,78.35594940185547,3.9245448112487793,53.534767150878906
2018-12-07,136.57803344726562,23.864667892456055,241.65060424804688,40.051395416259766,98.25804901123047,130.5803680419922,188.93844604492188,84.88764190673828,81.45649719238281,77.4345932006836,3.6597506999969482,51.970550537109375
2018-12-10,140.98089599609375,24.343332290649414,239.27162170410156,40.31525421142578,100.85462951660156,131.31370544433594,190.43844604492188,83.30146789550781,82.05149841308594,77.92039489746094,3.765122413635254,52.29829406738281
2018-12-11,141.20950317382812,24.450666427612305,239.89112854003906,40.08466720581055,101.79206085205078,130.29470825195312,190.13072204589844,82.48785400390625,82.16200256347656,78.65745544433594,3.674131155014038,52.718894958496094
2018-12-12,143.61465454101562,24.440000534057617,242.9613800048828,40.19638442993164,102.25137329101562,131.2375030517578,192.5825958251953,83.02203369140625,83.177001953125,78.75798797607422,3.6917343139648438,53.318756103515625
2018-12-13,144.1215362548828,25.119333267211914,244.31689453125,40.63615036010742,102.59820556640625,130.98988342285156,191.30377197265625,83.10424041748047,82.91899871826172,80.81844329833984,3.6914870738983154,53.30931854248047
2018-12-14,143.17735290527344,24.380666732788086,237.91612243652344,39.33588409423828,99.392333984375,128.65658569335938,187.81350708007812,82.422119140625,79.59549713134766,80.9440689086914,3.6309902667999268,52.22529220581055
2018-12-17,139.33106994628906,23.22800064086914,231.67686462402344,38.969825744628906,96.44888305664062,125.14228057861328,183.1212921142578,81.37015533447266,76.04550170898438,77.70263671875,3.55983304977417,50.93122482299805
2018-12-18,142.77981567382812,22.468666076660156,227.09852600097656,39.47614288330078,97.46127319335938,126.34231567382812,184.23663330078125,80.9839096069336,77.5739974975586,77.46813201904297,3.643139362335205,51.813140869140625
2018-12-19,132.4236602783203,22.197999954223633,224.71051025390625,38.244808197021484,97.19880676269531,125.00898742675781,179.91937255859375,79.95660400390625,74.75399780273438,76.85667419433594,3.434131145477295,51.41836166381836
2018-12-20,132.58265686035156,21.025333404541016,217.6453857421875,37.27971649169922,95.15525817871094,122.6280517578125,175.6791229248047,79.2662353515625,73.04149627685547,76.20335388183594,3.349586009979248,50.82843017578125
2018-12-21,124.18444061279297,21.31800079345703,213.96470642089844,35.8297004699707,92.08062744140625,118.34236145019531,168.4485321044922,77.39244842529297,68.87249755859375,76.19496154785156,3.2124786376953125,49.22300338745117
2018-12-24,123.29989624023438,19.69266700744629,209.116943359375,34.90264129638672,88.23727416992188,115.932861328125,167.92929077148438,75.72413635253906,67.197998046875,73.17132568359375,3.150742769241333,48.896263122558594
