Date,MSFT,NVDA,AAPL,AMZN,GOOGL,META,TSLA,JPM,UNH,PG,V,MA
2018-11-16,0.009414670821090487,-0.18755867224954914,0.011075532156335388,-0.016073437868940443,-0.0025955536046585737,-0.03003129378191771,0.016846485069498707,-0.0007267601837301907,0.02328824218134562,-0.00010668853636042197,-0.011702781607642598,-0.008320340049780328
2018-11-19,-0.033890593064710095,-0.11999025181028189,-0.03963210616368784,-0.05090968010562913,-0.038239430892174964,-0.0571919977218841,-0.0023707949075066903,0.007636996065365276,-0.018663789270116804,-0.00564936755782619,-0.038665000101722025,-0.049035553846144
2018-11-20,-0.02781480817631199,0.030269240786019225,-0.04777803105265066,-0.011128808718927297,0.002949151566561614,0.006689433162796687,-0.01691797240752324,-0.021474297065702364,-0.01710198136079577,-0.012755955392675045,-0.010315013325936762,-0.011728631473254536
2018-11-21,0.01376460338052321,-0.029313104343147933,-0.0011299139946934211,0.014223040580892299,0.012596432419811343,0.01804734355489024,-0.026763395900558984,-0.00746852590152991,-0.0036330919466277534,-0.007491877971924521,0.007873472796028791,0.003207572956823279
2018-11-23,-0.00038796167933174974,0.0020039924195911496,-0.025398853938320642,-0.009672192531983259,-0.012775161226389553,-0.022919618207924874,-0.03654747725516738,-0.00919751795950241,0.0041068683666032335,0.001422175170686879,-0.011530995532443966,-0.026963628432978837
2018-11-26,0.03298733040521129,0.05551727715860011,0.013523536601961483,0.052774205345442304,0.0250850122624382,0.035299450057003634,0.061903481591741416,0.024472571342173177,0.01735343977485515,0.004369923431808864,0.02310516998571943,0.05065730953493164
2018-11-27,0.006292956776188685,0.00444317036299835,-0.002176136261291428,5.693110101656629e-05,-0.0034661968149402034,-0.01011849888726124,-0.00601162087941387,0.004209956599611875,0.018747776961168805,0.00848366080415941,-0.00022098621847443933,0.005889691980243361
2018-11-28,0.03714771826136132,0.04124102394945095,0.03845274980974045,0.06091358215761211,0.03754717488024495,0.01303684661954052,0.011485270415007243,0.01111927215002173,0.03614265537904493,0.003127766070840865,0.040247243339093686,0.048191766445657924
2018-11-29,-0.008369405536872931,-0.01594647149507411,-0.007682016064695096,-0.0024914277024860043,0.002555394317931059,0.014039398553333582,-0.019260070246266525,-0.00793225492466898,0.005694789714407733,-0.0020428973180656174,-0.016126171731529526,-0.027783249871160653
2018-11-30,0.006352542353852408,0.03857432578145992,-0.005402282002284542,0.009918938050902604,0.013767732787333786,0.013916871631530547,0.027288440954263526,0.010267337423983447,-0.0010295422501871432,0.01820732771953404,0.01876300258721386,0.022424391685389233
